# Version: 18.08.58.00
id,group_id,item_id
1,1,101101
2,1,101102
3,9,101117
4,9,101118
5,17,101133
6,17,101134
7,25,101149
8,25,101150
9,33,101165
10,33,101166
11,41,101181
12,41,101182
13,49,101197
14,49,101198
15,57,101213
16,57,101214
17,65,101229
18,65,101230
19,73,101245
20,73,101246
21,81,101261
22,81,101262
23,89,101277
24,89,101278
25,97,101293
26,97,101294
27,105,101309
28,105,101310
29,105,165487
30,105,165488
31,106,101311
32,106,101312
33,106,165489
34,106,165490
35,107,101313
36,107,101314
37,107,165491
38,107,165492
39,108,101315
40,108,101316
41,108,165493
42,108,165494
43,109,101317
44,109,101318
45,109,165495
46,109,165496
47,110,101319
48,110,101320
49,110,165497
50,110,165498
51,111,101321
52,111,101322
53,111,165499
54,111,165500
55,112,101323
56,112,101324
57,112,165501
58,112,165502
59,113,101325
60,113,101326
61,113,165503
62,113,165504
63,114,101327
64,114,101328
65,114,165505
66,114,165506
67,115,101329
68,115,101330
69,115,165507
70,115,165508
71,116,101331
72,116,101332
73,116,165509
74,116,165510
75,117,101333
76,117,101371
77,117,165511
78,117,165512
79,118,101335
80,118,101336
81,118,165549
82,118,165550
83,119,101337
84,119,101338
85,119,165551
86,119,165552
87,120,101339
88,120,101340
89,120,165553
90,120,165554
91,121,101341
92,121,101342
93,121,165555
94,121,165556
95,122,101343
96,122,101344
97,122,165557
98,122,165558
99,123,101345
100,123,101346
101,123,165559
102,123,165560
103,124,101347
104,124,101348
105,124,165561
106,124,165562
107,125,101349
108,125,101350
109,125,165563
110,125,165564
111,126,101351
112,126,101352
113,126,165565
114,126,165566
115,127,101353
116,127,101354
117,127,165567
118,127,165568
119,128,101355
120,128,101356
121,128,165569
122,128,165570
123,129,101357
124,129,101358
125,129,165571
126,129,165572
127,130,101359
128,130,101360
129,130,165573
130,130,165574
131,131,101361
132,131,101362
133,131,165575
134,131,165576
135,132,101363
136,132,101364
137,132,165577
138,132,165578
139,133,101365
140,133,101366
141,133,165579
142,133,165580
143,134,101367
144,134,101368
145,134,165581
146,134,165582
147,135,101369
148,135,101370
149,135,165583
150,135,165584
151,136,101372
152,136,101373
153,136,165513
154,136,165514
155,137,101374
156,137,101375
157,137,165515
158,137,165516
159,138,101376
160,138,101377
161,138,165517
162,138,165518
163,139,101378
164,139,101379
165,139,165519
166,139,165520
167,140,101380
168,140,101381
169,140,165521
170,140,165522
171,141,101382
172,141,101383
173,141,165523
174,141,165524
175,142,101384
176,142,101385
177,142,165525
178,142,165526
179,143,101386
180,143,101387
181,143,165527
182,143,165528
183,144,101388
184,144,101389
185,144,165529
186,144,165530
187,145,101390
188,145,101391
189,145,165531
190,145,165532
191,146,101392
192,146,101393
193,146,165533
194,146,165534
195,147,101394
196,147,101395
197,147,165535
198,147,165536
199,148,101396
200,148,101397
201,148,165537
202,148,165538
203,149,101398
204,149,101399
205,149,165539
206,149,165540
207,150,101400
208,150,101401
209,150,165541
210,150,165542
211,151,101402
212,151,101403
213,151,165543
214,151,165544
215,152,101404
216,152,101405
217,152,165545
218,152,165546
219,153,101406
220,153,101334
221,153,165547
222,153,165548
223,154,101408
224,154,101409
225,154,165715
226,154,165716
227,155,101410
228,155,101411
229,155,165717
230,155,165718
231,156,101412
232,156,101413
233,156,165719
234,156,165720
235,157,101414
236,157,101415
237,157,165721
238,157,165722
239,158,101416
240,158,101417
241,158,165723
242,158,165724
243,159,101418
244,159,101419
245,159,165725
246,159,165726
247,160,101420
248,160,101421
249,160,165727
250,160,165728
251,161,101422
252,161,101423
253,161,165729
254,161,165730
255,162,101424
256,162,101554
257,162,165731
258,162,165732
259,163,101425
260,163,101426
261,163,165585
262,163,165586
263,164,101427
264,164,101428
265,164,165587
266,164,165588
267,165,101429
268,165,101430
269,165,165589
270,165,165590
271,166,101431
272,166,101432
273,166,165591
274,166,165592
275,167,101433
276,167,101434
277,167,165593
278,167,165594
279,168,101435
280,168,101436
281,168,165595
282,168,165596
283,169,101437
284,169,101438
285,169,165597
286,169,165598
287,170,101439
288,170,101440
289,170,165599
290,170,165600
291,171,101441
292,171,101442
293,171,165601
294,171,165602
295,172,101443
296,172,101444
297,172,165603
298,172,165604
299,173,101445
300,173,101446
301,173,165605
302,173,165606
303,174,101447
304,174,101448
305,174,165607
306,174,165608
307,175,101449
308,175,101450
309,175,165609
310,175,165610
311,176,101451
312,176,101452
313,176,165611
314,176,165612
315,177,101453
316,177,101454
317,177,165613
318,177,165614
319,178,101455
320,178,101456
321,178,165615
322,178,165616
323,179,101457
324,179,101458
325,179,165617
326,179,165618
327,180,101459
328,180,101460
329,180,165619
330,180,165620
331,181,101461
332,181,101462
333,181,165621
334,181,165622
335,182,101463
336,182,101464
337,182,165623
338,182,165624
339,183,101465
340,183,101466
341,183,165625
342,183,165626
343,184,101467
344,184,101468
345,184,165627
346,184,165628
347,185,101469
348,185,101470
349,185,165629
350,185,165630
351,186,101471
352,186,101472
353,186,165631
354,186,165632
355,187,101473
356,187,101474
357,187,165633
358,187,165634
359,188,101475
360,188,101476
361,188,165635
362,188,165636
363,189,101477
364,189,101478
365,189,165637
366,189,165638
367,190,101479
368,190,101480
369,190,165639
370,190,165640
371,191,101481
372,191,101482
373,191,165641
374,191,165642
375,192,101483
376,192,101484
377,192,165643
378,192,165644
379,193,101485
380,193,101486
381,193,165645
382,193,165646
383,194,101487
384,194,101488
385,194,165647
386,194,165648
387,195,101489
388,195,101490
389,195,165649
390,195,165650
391,196,101491
392,196,101492
393,196,165651
394,196,165652
395,197,101493
396,197,101494
397,197,165653
398,197,165654
399,198,101495
400,198,101496
401,198,165655
402,198,165656
403,199,101497
404,199,101498
405,199,165657
406,199,165658
407,200,101499
408,200,101500
409,200,165659
410,200,165660
411,201,101501
412,201,101502
413,201,165661
414,201,165662
415,202,101503
416,202,101504
417,202,165663
418,202,165664
419,203,101505
420,203,101506
421,203,165665
422,203,165666
423,204,101507
424,204,101508
425,204,165667
426,204,165668
427,205,101509
428,205,101510
429,205,165669
430,205,165670
431,206,101511
432,206,101512
433,206,165671
434,206,165672
435,207,101513
436,207,101514
437,207,165673
438,207,165674
439,208,101515
440,208,101516
441,208,165675
442,208,165676
443,209,101517
444,209,101518
445,209,165677
446,209,165678
447,210,101519
448,210,101520
449,210,165679
450,210,165680
451,211,101521
452,211,101522
453,211,165681
454,211,165682
455,212,101523
456,212,101524
457,212,165683
458,212,165684
459,213,101525
460,213,101526
461,213,165685
462,213,165686
463,214,101527
464,214,101528
465,214,165687
466,214,165688
467,215,101529
468,215,101530
469,215,165689
470,215,165690
471,216,101531
472,216,101532
473,216,165691
474,216,165692
475,217,101533
476,217,101534
477,217,165693
478,217,165694
479,218,101535
480,218,101536
481,218,165695
482,218,165696
483,219,101537
484,219,101538
485,219,165697
486,219,165698
487,220,101539
488,220,101540
489,220,165699
490,220,165700
491,221,101541
492,221,101542
493,221,165701
494,221,165702
495,222,101543
496,222,101544
497,222,165703
498,222,165704
499,223,101545
500,223,101546
501,223,165705
502,223,165706
503,224,101547
504,224,101548
505,224,165707
506,224,165708
507,225,101549
508,225,101550
509,225,165709
510,225,165710
511,226,101551
512,226,101552
513,226,165711
514,226,165712
515,227,101553
516,227,101407
517,227,165713
518,227,165714
519,228,101555
520,228,101556
521,228,165733
522,228,165734
523,229,101557
524,229,101558
525,229,165735
526,229,165736
527,230,101559
528,230,101560
529,230,165737
530,230,165738
531,231,101561
532,231,101562
533,231,165739
534,231,165740
535,232,101563
536,232,101564
537,232,165741
538,232,165742
539,233,101565
540,233,101566
541,233,165743
542,233,165744
543,234,101567
544,234,101568
545,234,165745
546,234,165746
547,235,101569
548,235,101570
549,235,165747
550,235,165748
551,236,101571
552,236,101572
553,236,165749
554,236,165750
555,237,101573
556,237,101574
557,237,165751
558,237,165752
559,238,101575
560,238,101576
561,238,165753
562,238,165754
563,239,101577
